387,[1510255       0 1088477 ...       0       0       0],6
388,[686037      0 487684 ...      0      0      0],0
389,[719124      0 505960 ...      0      0      0],0
390,[2799048       0 2168408 ...       0       0       0],3
391,[703830      0 490133 ...      0      0      0],0
392,[1334136       0  932356 ...       0       0       0],6
393,[910687      0 629791 ...      0      0      0],0
394,[1189795       0  840802 ...       0       0       0],6
395,[550182      0 389946 ...      0      0      0],0
396,[654013      0 464616 ...      0      0      0],0
397,[765530      0 553228 ...      0      0      0],0
398,[694013      0 492920 ...      0      0      0],0
399,[1090818       0  479512 ...       0       0       0],0
400,[1013546       0  414604 ...       0       0       0],0
401,[865982      0 603356 ...      0      0      0],0
402,[1100953       0  766074 ...       0       0       0],6
403,[886623      0 629871 ...      0      0      0],0
404,[1537584       0 1117479 ...       0       0       0],6
405,[611765      0 439353 ...      0      0      0],0
406,[839984      0 614361 ...      0      0      0],0
407,[532771      0 382602 ...      0      0      0],0
408,[1103697       0  766183 ...       0       0       0],6
409,[901933      0 644717 ...      0      0      0],0
410,[817679      0 594764 ...      0      0      0],0
411,[1192532       0  844468 ...       0       0       0],6
412,[865792      0 405935 ...      0      0      0],0
413,[1138751       0  804938 ...       0       0       0],6
414,[1338285       0  955271 ...       0       0       0],6
415,[1248823       0  872230 ...       0       0       0],6
416,[1132491       0  782594 ...       0       0       0],6
417,[941009      0 745067 ...      0      0      0],6
418,[1643952       0 1151776 ...       0       0       0],6
419,[805660      0 574295 ...      0      0      0],0
420,[601326      0 427176 ...      0      0      0],0
421,[1208790       0  828955 ...       0       0       0],6
422,[652679      0 468330 ...      0      0      0],0
423,[813359      0 551918 ...      0      0      0],0
424,[865261      0 605146 ...      0      0      0],0
425,[649935      0 451098 ...      0      0      0],0
426,[1081950       0  771204 ...       0       0       0],6
427,[163846      0 116935 ...      0      0      0],0
428,[357757      0 278143 ...      0      0      0],0
429,[883870      0 372966 ...      0      0      0],0
430,[250737      0 198164 ...      0      0      0],0
431,[1088910       0  773933 ...       0       0       0],6
432,[761057      0 526324 ...      0      0      0],0
433,[1110841       0  784036 ...       0       0       0],6
434,[687013      0 490467 ...      0      0      0],0
435,[829670      0 574947 ...      0      0      0],0
436,[744657      0 533895 ...      0      0      0],0
437,[1113422       0  511720 ...       0       0       0],0
438,[1522261       0 1075670 ...       0       0       0],6
439,[734292      0 513481 ...      0      0      0],0
440,[268052      0 189154 ...      0      0      0],0
441,[1072741       0  754514 ...       0       0       0],6
442,[586670      0 415525 ...      0      0      0],0
443,[528016      0 371825 ...      0      0      0],0
444,[292545      0 244499 ...      0      0      0],0
445,[456338      0 341233 ...      0      0      0],0
446,[760170      0 529413 ...      0      0      0],0
447,[1834782       0 1306192 ...       0       0       0],6
448,[689046      0 495224 ...      0      0      0],0
449,[620797      0 446488 ...      0      0      0],0
450,[963807      0 693863 ...      0      0      0],6
451,[1376945       0  999452 ...       0       0       0],6
452,[674951      0 479130 ...      0      0      0],0
453,[488407      0 349538 ...      0      0      0],0
454,[615066      0 434112 ...      0      0      0],0
455,[1558282       0 1079462 ...       0       0       0],6
456,[1879299       0 1410136 ...       0       0       0],6
457,[727273      0 524648 ...      0      0      0],0
458,[1106355       0  761788 ...       0       0       0],6
459,[613992      0 445557 ...      0      0      0],0
460,[628779      0 443795 ...      0      0      0],0
461,[633206      0 441635 ...      0      0      0],0
462,[1653385       0 1161820 ...       0       0       0],6
463,[4014177       0 2876764 ...       0       0       0],5
464,[414974      0 299785 ...      0      0      0],0
465,[869596      0 398732 ...      0      0      0],0
466,[802833      0 557916 ...      0      0      0],0
467,[865738      0 593828 ...      0      0      0],0
468,[1060383       0  780268 ...       0       0       0],6
469,[1262616       0  877735 ...       0       0       0],6
470,[940027      0 654283 ...      0      0      0],0
471,[511641      0 360987 ...      0      0      0],0
472,[579263      0 429260 ...      0      0      0],0
473,[1017466       0  705138 ...       0       0       0],6
474,[525433      0 363292 ...      0      0      0],0
475,[1292934       0  939312 ...       0       0       0],6
476,[1194306       0  884424 ...       0       0       0],6
477,[620488      0 432645 ...      0      0      0],0
478,[1110488       0  770505 ...       0       0       0],6
479,[484957      0 352786 ...      0      0      0],0
480,[1203133       0  848607 ...       0       0       0],6
481,[852467      0 598091 ...      0      0      0],0
482,[1171349       0  497945 ...       0       0       0],0
483,[825182      0 600012 ...      0      0      0],0
484,[790003      0 567151 ...      0      0      0],0
485,[703792      0 499224 ...      0      0      0],0
486,[1060702       0  519365 ...       0       0       0],0
487,[1175456       0  816367 ...       0       0       0],6
488,[468359      0 342517 ...      0      0      0],0
489,[925132      0 480096 ...      0      0      0],6
490,[350374      0 252405 ...      0      0      0],0
491,[592196      0 421831 ...      0      0      0],0
492,[389192      0 282398 ...      0      0      0],0
493,[434049      0 328860 ...      0      0      0],0
494,[456049      0 331993 ...      0      0      0],0
495,[1241436       0  862865 ...       0       0       0],6
496,[684754      0 495341 ...      0      0      0],0
497,[926388      0 627463 ...      0      0      0],0
498,[872280      0 756731 ...      0      0      0],6
499,[1388688       0  974510 ...       0       0       0],6
500,[1086901       0  762736 ...       0       0       0],6
501,[459803      0 328216 ...      0      0      0],0
502,[1071732       0  759418 ...       0       0       0],6
503,[714668      0 507205 ...      0      0      0],0
504,[586538      0 414667 ...      0      0      0],0
505,[889438      0 639771 ...      0      0      0],0
506,[601852      0 438019 ...      0      0      0],0
507,[715783      0 508354 ...      0      0      0],0
508,[695936      0 496746 ...      0      0      0],0
509,[986639      0 706316 ...      0      0      0],6
510,[728072      0 500499 ...      0      0      0],0
511,[1050527       0  731846 ...       0       0       0],6
512,[991696      0 707649 ...      0      0      0],6
513,[680761      0 495059 ...      0      0      0],0
514,[413277      0 286259 ...      0      0      0],0
515,[1243975       0  884204 ...       0       0       0],6
516,[692106      0 511134 ...      0      0      0],0
517,[415782      0 301863 ...      0      0      0],0
518,[698482      0 494032 ...      0      0      0],0
519,[1208326       0  871577 ...       0       0       0],6
520,[1740991       0 1248199 ...       0       0       0],6
521,[1212550       0  854748 ...       0       0       0],6
522,[911674      0 630131 ...      0      0      0],0
523,[547308      0 397038 ...      0      0      0],0
524,[626126      0 444573 ...      0      0      0],0
525,[772643      0 545958 ...      0      0      0],0
526,[571111      0 412390 ...      0      0      0],0
527,[1105457       0  777238 ...       0       0       0],6
528,[550863      0 396238 ...      0      0      0],0
529,[1673473       0 1178557 ...       0       0       0],6
530,[1141177       0  799328 ...       0       0       0],6
531,[1432570       0 1009833 ...       0       0       0],6
532,[859172      0 446157 ...      0      0      0],0
533,[820596      0 578071 ...      0      0      0],0
534,[1030893       0  731853 ...       0       0       0],6
535,[1345319       0  952025 ...       0       0       0],6
536,[369692      0 271526 ...      0      0      0],0
537,[479313      0 343367 ...      0      0      0],0
538,[1419225       0 1022358 ...       0       0       0],6
539,[375175      0 275095 ...      0      0      0],0
540,[571173      0 407383 ...      0      0      0],0
541,[553423      0 382017 ...      0      0      0],0
542,[751113      0 528892 ...      0      0      0],0
543,[677640      0 504413 ...      0      0      0],0
544,[724962      0 506198 ...      0      0      0],0
545,[650343      0 469298 ...      0      0      0],0
546,[402999      0 268824 ...      0      0      0],0
547,[818769      0 579212 ...      0      0      0],0
548,[1020550       0  709359 ...       0       0       0],6
549,[658182      0 463024 ...      0      0      0],0
550,[1209723       0  836366 ...       0       0       0],6
551,[881980      0 625506 ...      0      0      0],0
552,[1043132       0  746009 ...       0       0       0],6
553,[674130      0 480195 ...      0      0      0],0
554,[1038697       0  741472 ...       0       0       0],6
555,[1599675       0 1157917 ...       0       0       0],6
556,[1427273       0 1001074 ...       0       0       0],6
557,[349616      0 250220 ...      0      0      0],0
558,[383681      0 269079 ...      0      0      0],0
559,[425125      0 308725 ...      0      0      0],0
560,[897956      0 631968 ...      0      0      0],0
561,[1247210       0  875350 ...       0       0       0],6
562,[1332506       0  945505 ...       0       0       0],6
563,[1331474       0  939375 ...       0       0       0],6
564,[677179      0 484370 ...      0      0      0],0
565,[167745      0 120936 ...      0      0      0],0
566,[716441      0 506933 ...      0      0      0],0
567,[1020352       0  724793 ...       0       0       0],6
568,[1299086       0  911067 ...       0       0       0],6
569,[1742281       0 1234701 ...       0       0       0],6
570,[819813      0 561315 ...      0      0      0],0
571,[672137      0 319028 ...      0      0      0],0
572,[1275953       0  858548 ...       0       0       0],6
573,[1041983       0  744850 ...       0       0       0],6
574,[594316      0 422149 ...      0      0      0],0
575,[619030      0 439409 ...      0      0      0],0
576,[1038808       0  496649 ...       0       0       0],0
577,[476379      0 339404 ...      0      0      0],0
578,[602833      0 432571 ...      0      0      0],0
579,[594827      0 426003 ...      0      0      0],0
580,[528047      0 371831 ...      0      0      0],0
581,[700078      0 495627 ...      0      0      0],0
582,[759834      0 535141 ...      0      0      0],0
583,[1392103       0  997506 ...       0       0       0],6
584,[151054      0 108035 ...      0      0      0],0
585,[810622      0 575170 ...      0      0      0],0
586,[740677      0 523213 ...      0      0      0],0
587,[535584      0 380358 ...      0      0      0],0
588,[1158143       0  803605 ...       0       0       0],6
589,[1536109       0 1084121 ...       0       0       0],6
590,[741873      0 528687 ...      0      0      0],0
591,[1810422       0 1288100 ...       0       0       0],6
592,[1030316       0  741446 ...       0       0       0],6
593,[1333128       0  939772 ...       0       0       0],6
594,[624254      0 440074 ...      0      0      0],0
595,[454548      0 438565 ...      0      0      0],0
596,[823714      0 355723 ...      0      0      0],0
597,[1028984       0  507164 ...       0       0       0],0
598,[1175081       0  807265 ...       0       0       0],6
599,[1185546       0  801696 ...       0       0       0],6
600,[1578431       0 1129982 ...       0       0       0],6
601,[1426430       0 1003447 ...       0       0       0],6
602,[747592      0 511092 ...      0      0      0],0
603,[595525      0 429572 ...      0      0      0],0
604,[1003224       0  710889 ...       0       0       0],6
605,[733401      0 543960 ...      0      0      0],0
606,[404569      0 288220 ...      0      0      0],0
607,[1294037       0  908150 ...       0       0       0],6
608,[732785      0 520747 ...      0      0      0],0
609,[878316      0 652147 ...      0      0      0],0
610,[573612      0 425137 ...      0      0      0],0
611,[1199193       0  883752 ...       0       0       0],6
612,[1050093       0  755498 ...       0       0       0],6
613,[1117499       0  794420 ...       0       0       0],6
614,[555207      0 417799 ...      0      0      0],0
615,[1089493       0  777605 ...       0       0       0],6
616,[566548      0 401327 ...      0      0      0],0
617,[687367      0 494388 ...      0      0      0],0
618,[742668      0 548151 ...      0      0      0],0
619,[804102      0 577515 ...      0      0      0],0
620,[636033      0 454340 ...      0      0      0],0
621,[619938      0 451290 ...      0      0      0],0
